q, iprec
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 1
2, 1
2, 0.833333
2, 0.833333
2, 0.0331492
2, 0.016129
2, 0
2, 0
2, 0
2, 0
2, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
5, 0.333333
5, 0.333333
5, 0.0806452
5, 0.0806452
5, 0.0806452
5, 0.0806452
5, 0.0806452
5, 0.0806452
5, 0.0342857
5, 0
5, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
7, 0.25
7, 0.0777778
7, 0.0777778
7, 0.0777778
7, 0.0776699
7, 0.0202578
7, 0
7, 0
7, 0
7, 0
7, 0
8, 0.181818
8, 0.181818
8, 0.181818
8, 0.181818
8, 0.181818
8, 0.181818
8, 0.181818
8, 0.0441176
8, 0.0441176
8, 0.0441176
8, 0.0441176
9, 1
9, 0.666667
9, 0.6
9, 0.0675676
9, 0.0117647
9, 0.0117647
9, 0
9, 0
9, 0
9, 0
9, 0
10, 0.00854701
10, 0.00854701
10, 0.00854701
10, 0.00301205
10, 0.00301205
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
11, 1
11, 1
11, 1
11, 1
11, 0.0909091
11, 0.0897436
11, 0.0897436
11, 0.0897436
11, 0.0740741
11, 0
11, 0
12, 0.666667
12, 0.666667
12, 0.666667
12, 0.046875
12, 0.046875
12, 0.0176211
12, 0
12, 0
12, 0
12, 0
12, 0
13, 0.00729927
13, 0.00729927
13, 0.00729927
13, 0.00729927
13, 0.00729927
13, 0.00729927
13, 0.00245399
13, 0.00245399
13, 0.00245399
13, 0.00245399
13, 0.00245399
14, 1
14, 0.666667
14, 0.571429
14, 0.0101215
14, 0.00891862
14, 0.00891862
14, 0
14, 0
14, 0
14, 0
14, 0
15, 0.001002
15, 0.001002
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
16, 0.5
16, 0.5
16, 0.285714
16, 0.125
16, 0.125
16, 0.125
16, 0.0714286
16, 0.0714286
16, 0.057971
16, 0.0153846
16, 0.0153846
17, 0.00276243
17, 0.00276243
17, 0.00276243
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
18, 1
18, 1
18, 1
18, 1
18, 1
18, 1
18, 0.833333
18, 0.833333
18, 0.833333
18, 0.3
18, 0.3
19, 0.5
19, 0.5
19, 0.5
19, 0.5
19, 0.5
19, 0.5
19, 0.5
19, 0.12
19, 0.12
19, 0.12
19, 0.12
20, 0.666667
20, 0.666667
20, 0.666667
20, 0.666667
20, 0.12
20, 0.12
20, 0.0481928
20, 0.0458716
20, 0.0458716
20, 0.026087
20, 0.026087
21, 1
21, 0.666667
21, 0.375
21, 0.0205128
21, 0.0178571
21, 0.0142857
21, 0.0125899
21, 0.0119225
21, 0
21, 0
21, 0
22, 1
22, 1
22, 0.75
22, 0.5
22, 0.0151057
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
23, 0.166667
23, 0.166667
23, 0.166667
23, 0.166667
23, 0.0454545
23, 0.0410959
23, 0.0410959
23, 0.0393258
23, 0.0238095
23, 0.0193133
23, 0.0193133
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
26, 1
26, 1
26, 1
26, 1
26, 0.375
26, 0.375
26, 0
26, 0
26, 0
26, 0
26, 0
27, 1
27, 1
27, 1
27, 1
27, 1
27, 0.75
27, 0.75
27, 0.636364
27, 0.190476
27, 0.00934579
27, 0
28, 1
28, 0.153846
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
29, 1
29, 1
29, 0.5
29, 0.0143885
29, 0.00578035
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
31, 0.476159
31, 0.40888
31, 0.342478
31, 0.243389
31, 0.124875
31, 0.111986
31, 0.0870434
31, 0.0658402
31, 0.0475464
31, 0.0178901
31, 0.0175786
